YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1973,0.70,0.64,4.36,11.54,16.50,20.87,26.17,26.03,20.78,13.54,5.71,-1.96,0.82,10.80,24.36,13.34,12.33
1974,-1.86,-1.89,3.53,9.84,15.67,18.73,23.22,24.67,21.00,13.00,5.91,-0.02,-1.90,9.68,22.21,13.30,10.82
1975,-2.15,-0.61,4.27,12.44,16.00,20.68,24.41,26.77,22.88,15.99,9.66,-0.53,-0.93,10.90,23.95,16.18,12.53
1976,-3.17,2.79,4.71,10.43,15.81,20.31,22.68,23.71,20.33,14.44,4.50,1.14,-0.30,10.32,22.23,13.09,11.33
1977,-5.98,-2.12,4.88,11.35,16.26,21.33,25.32,24.31,21.49,17.26,8.26,2.95,-2.32,10.83,23.65,15.67,11.96
1978,-1.53,-1.95,4.20,10.79,17.26,21.08,25.95,25.98,21.36,14.90,8.57,2.41,-0.18,10.75,24.34,14.94,12.46
1979,1.39,1.11,6.23,10.89,16.14,21.03,24.27,25.51,20.12,16.28,6.60,2.35,1.64,11.09,23.60,14.33,12.66
1980,-3.10,-2.60,5.28,9.77,15.54,20.58,22.58,23.01,19.73,13.39,9.01,-2.88,-1.12,10.20,22.06,14.04,11.29
1981,-6.07,-1.24,5.47,10.94,14.95,20.92,25.03,24.56,20.08,13.69,3.93,0.67,-3.40,10.45,23.50,12.57,10.78
1982,-3.08,0.66,5.45,11.33,17.03,21.20,24.84,25.49,20.83,16.33,8.51,0.75,-0.58,11.27,23.84,15.22,12.44
1983,-1.24,-1.55,6.12,12.54,17.40,21.33,23.26,25.86,22.18,14.57,7.48,-0.66,-0.68,12.02,23.48,14.74,12.39
1984,-4.89,-3.00,2.43,11.15,16.94,21.76,24.58,26.44,20.64,14.60,8.76,-0.23,-2.85,10.17,24.26,14.67,11.56
1985,-5.11,0.07,4.07,10.92,17.36,21.58,24.70,26.59,20.53,15.32,6.52,-2.90,-1.76,10.78,24.29,14.12,11.86
1986,-4.73,-2.89,5.01,11.19,16.09,21.06,23.30,24.49,20.23,13.26,5.90,2.30,-3.51,10.76,22.95,13.13,10.83
1987,-2.67,-0.18,3.64,9.96,15.99,21.39,23.21,24.38,20.25,15.75,7.80,1.52,-0.18,9.86,22.99,14.60,11.82
